type,title,img,link,description,cta,guide
slug,fintech,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/Screenshot+2024-10-02+at+21.53.39.png,https://www.marllm.io/en/digital-marketing/fintech,Discover fintech’s top-performing marketing strategies—download the full report,download fintechs PDF,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/Fintech+Search+Market+Report.pdf
slug,luxury,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/search-market-overview.png,https://www.marllm.io/en/digital-marketing/luxury,Master luxury market advertising—get the elite strategies that drive results,Get The Exact Guide On Luxury Marketing,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/Luxury+Markets+Search+Report+(1).pdf
slug,ai,https://www.marllm.io/en/digital-marketing/brand,https://www.marllm.io/en/digital-marketing/ai,"Get Your Full ""Adapt or Die"" AI Marketing Guide That Gives you the EXACT Steps to sorviwe the tide.",get AI digital marketing report,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/Compressed+Best+Brands+Market+Report+(3).pdf
category1,marketing,,,,,
category1,sales,,,,,
category1,productivity,,,,,
category1,pdf,,,,,
category1,partners,,,,,
category1,software,,,,,
category2,real-estate,,,,,
category2,luxury-products,,,,,
category2,healthcare,,,,,
category2,b2b,,,,,
category2,general,,,,,
service,NEED MORE HELP?,,,,,
service1,Get Insights,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/Vector.png,https://docs.google.com/forms/d/e/1FAIpQLSc4fvnBLr3XHHFnIVB_pX-AO4nj2KGVdNLLnfHVcPBDMvJxIQ/viewform,Share topics you'd like to be discoverable for & 5 competitors - we'll do the rest.,Get Insights,
service2,Get Started,,https://calendly.com/marllm/30min?a1=learn%20more%20on%20marllm%20digital%20marketing,get a tailored solution for your growth needs.,Get Started Now,
service3,Join Digital Community,,https://www.marllm.io/enquire,Join a group of peers to get fast help within the community,Join The Community,
announcement,Join Workshop,,https://lu.ma/user/marllm,How to scale digital sales funnels ,Take part,
trust,4.9 Rated,https://public-marllm.s3.eu-north-1.amazonaws.com/Image.png,https://www.g2.com/products/marllm/reviews,By Top Brands,,
trust,Trusted by the leading businesses worldwide,https://public-marllm.s3.eu-north-1.amazonaws.com/marllmio/Logos.png,,,,
trust,recognised by UK Innovate Edge,https://public-marllm.s3.eu-north-1.amazonaws.com/marllm/uk+in-innovate-edge.png,,5X return on investment global customer acquisitions through budget arbitrage,,
